n_stations,D,r_mec,D_over_2,kappa,covered,area
2,1993.3142283223465,996.6571141611732,996.6571141611732,1.0,True,28572.10402872471
2,1835.5895038908927,917.7947519454464,917.7947519454464,1.0,True,28814.165156400726
2,2126.0322698604728,1063.0161349302364,1063.0161349302364,1.0,True,22963.48392680986
2,2120.4622361306583,1060.2311180653292,1060.2311180653292,1.0,True,37034.48831848361
2,1869.8712511224303,934.9356255612151,934.9356255612151,1.0,True,29505.491340652407
2,2204.2734029478265,1102.1367014739133,1102.1367014739133,1.0,True,34994.27644553567
2,2164.099319556548,1082.049659778274,1082.049659778274,1.0,True,23389.42394065106
2,2399.034015688633,1199.5170078443166,1199.5170078443166,1.0,True,46792.762779896395
2,1805.2473243315876,902.6236621657938,902.6236621657938,1.0,True,22224.882074389974
2,2637.9236497447155,1318.9618248723577,1318.9618248723577,1.0,True,60746.51441672315
2,1872.7087191327794,936.3543595663897,936.3543595663897,1.0,True,20433.291985948905
2,1968.7491689711383,984.3745844855691,984.3745844855691,1.0,True,28682.367835966725
2,2446.2261624751395,1223.1130812375698,1223.1130812375698,1.0,True,51099.72522147911
2,2210.132307976841,1105.0661539884204,1105.0661539884204,1.0,True,42632.418823107466
2,2216.0899380457968,1108.0449690228984,1108.0449690228984,1.0,True,42835.18146663344
2,2415.381406598129,1207.6907032990646,1207.6907032990646,1.0,True,50901.2060699462
2,2155.447610527766,1077.723805263883,1077.723805263883,1.0,True,25237.173203873303
2,2656.932283512937,1328.4661417564685,1328.4661417564685,1.0,True,36209.43198279731
2,2146.3788996523626,1073.1894498261813,1073.1894498261813,1.0,True,7556.008387209382
2,2633.9407641859348,1316.9703820929674,1316.9703820929674,1.0,True,47934.39119590858
2,2107.62218847861,1053.811094239305,1053.811094239305,1.0,True,38493.26517889262
2,2168.3157663507873,1084.1578831753936,1084.1578831753936,1.0,True,29831.813452172486
2,2563.2730150252314,1281.6365075126157,1281.6365075126157,1.0,True,49573.4495725381
2,1811.5933492825106,905.7966746412553,905.7966746412553,1.0,True,28258.471669415652
2,1586.440809311817,793.2204046559085,793.2204046559085,1.0,True,21953.21116249529
2,2108.0147122299168,1054.0073561149584,1054.0073561149584,1.0,True,34229.4584680918
2,1728.832913304156,864.416456652078,864.416456652078,1.0,True,23344.822422400328
2,1591.6880322134584,795.8440161067292,795.8440161067292,1.0,True,21776.44030134488
2,1966.3950384983598,983.1975192491799,983.1975192491799,1.0,True,32725.729286227855
2,2054.5705472917543,1027.2852736458772,1027.2852736458772,1.0,True,30922.957245558235
2,1924.4350597212085,962.2175298606043,962.2175298606043,1.0,True,9152.316548206436
2,1922.9744251406046,961.4872125703023,961.4872125703023,1.0,True,27169.24015871663
2,2573.732553595366,1286.866276797683,1286.866276797683,1.0,True,49058.04436971747
2,1848.9095391253663,924.4547695626832,924.4547695626832,1.0,True,26998.613668133326
2,1836.7545705907473,918.3772852953737,918.3772852953737,1.0,True,26180.114967411515
2,1784.035887512759,892.0179437563795,892.0179437563795,1.0,True,21596.705992882144
2,2203.826890477283,1101.9134452386415,1101.9134452386415,1.0,True,41289.16300731374
2,1529.1208312283954,764.5604156141977,764.5604156141977,1.0,True,20198.936226941612
2,1852.687893716047,926.3439468580235,926.3439468580235,1.0,True,29940.733490829334
2,1995.8433325989056,997.9216662994528,997.9216662994528,1.0,True,27746.010784446386
2,2386.9687045690544,1193.4843522845272,1193.4843522845272,1.0,True,38104.212592956246
2,2281.294241970956,1140.647120985478,1140.647120985478,1.0,True,41271.10283655724
2,1953.3076262146972,976.6538131073486,976.6538131073486,1.0,True,31391.95078883039
2,2411.78558189697,1205.892790948485,1205.892790948485,1.0,True,46477.26239710653
2,2072.1465656960713,1036.0732828480357,1036.0732828480357,1.0,True,16728.138232417215
2,2218.858447803629,1109.4292239018146,1109.4292239018146,1.0,True,42641.40040237298
2,1863.9441920486993,931.9720960243496,931.9720960243496,1.0,True,26375.430101894963
2,2167.0862570224353,1083.5431285112177,1083.5431285112177,1.0,True,38722.71954421654
2,1959.8510361730837,979.9255180865418,979.9255180865418,1.0,True,33270.17562605716
2,1806.1176024159586,903.0588012079793,903.0588012079793,1.0,True,22549.2876555669
2,2209.4384425178446,1104.7192212589223,1104.7192212589223,1.0,True,42046.10069079888
2,1612.7928049219624,806.3964024609812,806.3964024609812,1.0,True,20587.694224179035
2,2468.9979190661347,1234.4989595330674,1234.4989595330674,1.0,True,50345.04381182797
2,2095.8463458204324,1047.9231729102162,1047.9231729102162,1.0,True,35720.075246275956
2,1645.9326116835007,822.9663058417503,822.9663058417503,1.0,True,23021.75754511046
2,2088.5035996824918,1044.2517998412459,1044.2517998412459,1.0,True,38005.953293664454
2,1621.8486875124042,810.9243437562021,810.9243437562021,1.0,True,22369.774632399647
2,1566.118862089872,783.059431044936,783.059431044936,1.0,True,10305.02311833686
2,1633.3728313997453,816.6864156998727,816.6864156998727,1.0,True,22865.71272803473
2,1793.4187592508547,896.7093796254273,896.7093796254273,1.0,True,20559.490413035168
2,2037.7811837991685,1018.8905918995843,1018.8905918995843,1.0,True,31439.143238894667
2,2080.575746281546,1040.287873140773,1040.287873140773,1.0,True,25687.655182940092
2,2400.5191468116427,1200.2595734058214,1200.2595734058214,1.0,True,50295.703819093804
2,2300.941208417407,1150.4706042087034,1150.4706042087034,1.0,True,36600.95284515418
2,2001.4482149074001,1000.7241074537001,1000.7241074537001,1.0,True,17934.580870260048
2,2044.6276952036271,1022.3138476018136,1022.3138476018136,1.0,True,21674.915895893777
2,2213.004602598332,1106.502301299166,1106.502301299166,1.0,True,38374.84752676501
2,1993.8025785433003,996.9012892716502,996.9012892716502,1.0,True,30439.632087721715
2,2110.3608077566773,1055.1804038783387,1055.1804038783387,1.0,True,32516.149400835842
2,2149.4313018532093,1074.7156509266047,1074.7156509266047,1.0,True,40326.473232397286
2,2257.089315914053,1128.5446579570264,1128.5446579570264,1.0,True,34268.80630166009
2,2026.9291978899764,1013.4645989449882,1013.4645989449882,1.0,True,17059.36814135774
2,1688.7390417450679,844.3695208725339,844.3695208725339,1.0,True,22653.220611982375
2,1854.0062062982688,927.0031031491344,927.0031031491344,1.0,True,27147.02829430799
2,2144.0364058119903,1072.0182029059952,1072.0182029059952,1.0,True,37264.726037819295
2,2168.041135166093,1084.0205675830466,1084.0205675830466,1.0,True,40270.498106503015
2,1863.7234542930078,931.8617271465039,931.8617271465039,1.0,True,12624.52499194943
2,2033.8059591174813,1016.9029795587406,1016.9029795587406,1.0,True,29377.20373259474
