run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
6,r06_20260912_232908.jsonl,102,2499.344,6.0,measure,17,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,103,2505.344,6.0,measure,2,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,104,2511.344,6.0,measure,18,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,105,2517.344,6.0,measure,14,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,106,2523.344,6.0,measure,17,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,107,2529.344,6.0,measure,18,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,108,2604.344,75.0,measure,18,-688.313,1327.079,direction
6,r06_20260912_232908.jsonl,109,2637.687,33.342,clear,18,-590.685,1224.361,success
6,r06_20260912_232908.jsonl,110,2713.687,76.0,measure,14,-938.69,1261.675,direction
6,r06_20260912_232908.jsonl,111,2751.144,37.457,clear,14,-1085.71,1192.956,success
6,r06_20260912_232908.jsonl,112,2827.144,76.0,measure,17,-800.876,1396.351,direction
6,r06_20260912_232908.jsonl,113,2902.144,75.0,measure,17,-468.405,1286.976,direction
6,r06_20260912_232908.jsonl,114,2954.964,52.82,measure,17,-233.194,1329.921,direction
6,r06_20260912_232908.jsonl,115,2991.123,36.159,measure,17,-81.211,1295.665,direction
6,r06_20260912_232908.jsonl,116,3020.123,29.0,measure,17,38.528,1303.573,direction
6,r06_20260912_232908.jsonl,117,3049.123,29.0,measure,17,156.822,1283.408,direction
6,r06_20260912_232908.jsonl,118,3068.03,18.907,measure,17,211.681,1240.682,direction
6,r06_20260912_232908.jsonl,119,3083.085,15.055,clear,17,201.953,1290.008,success
6,r06_20260912_232908.jsonl,120,3184.09,101.005,measure,13,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,121,3190.09,6.0,measure,12,575.0,995.929,direction
6,r06_20260912_232908.jsonl,122,3196.09,6.0,measure,9,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,123,3202.09,6.0,measure,8,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,124,3208.09,6.0,measure,7,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,125,3214.09,6.0,measure,6,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,126,3220.09,6.0,measure,5,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,127,3226.09,6.0,measure,3,575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,128,3232.09,6.0,measure,2,575.0,995.929,direction
6,r06_20260912_232908.jsonl,129,3237.09,5.0,measure,2,575.0,995.929,direction
6,r06_20260912_232908.jsonl,130,3243.09,6.0,measure,12,575.0,995.929,direction
6,r06_20260912_232908.jsonl,131,3319.09,76.0,measure,2,879.895,1167.799,direction
6,r06_20260912_232908.jsonl,132,3343.823,24.734,clear,2,940.151,1089.667,success
6,r06_20260912_232908.jsonl,133,3419.823,76.0,measure,12,1232.011,896.489,direction
